Menu_ID,Menu_name,Menu_ingredient,Ingredient_split,Menu_process,Menu_TYPEID
M001,ข้าวไข่เจียวกุ้ง,"ไข่ไก่, กุ้งสด, พริกไทย, น้ำปลา, น้ำมันพืช","ไข่ไก่ 3 ฟอง
กุ้งสด 500 กรัม
พริกไทย 1/2 ช้อนชา
น้ำปลา 1/2 ช้อนชา
น้ำมันพืช","-แกะเปลือกกุ้ง เลาะเอาเส้นดำออก ล้างน้ำให้สะอาด จากนั้น นำกุ้งไปลวกในน้ำร้อนให้พอสุก ประมาณ 50% พักให้สะเด็ดน้ำ แล้วนำมาหั่นเป็นชิ้นเล็ก ๆ
-ตอกไข่ไก่ ใส่ถ้วยผสม 3 ฟองก่อน ปรุงรสด้วย น้ำปลา พริกไทย แล้วตีไข่ไก่ให้เข้ากัน ไม่ต้องฟูมาก จนขึ้นฟอง
-ตั้งกระทะ ใส่น้ำมันพืชลงไป กะแค่พอท่วมสำหรับทอดไข่เจียว ใช้ไฟกลาง วอร์มน้ำมันพืชให้ร้อนจัด ระหว่างนี้ ให้ผสมไข่ที่ตีไว้ กับ เนื้อกุ้ง ยี ๆ ให้เข้ากัน
-พอเช็กว่าน้ำมันพืชร้อนกำลังดีแล้ว ให้เทไข่ผสมกุ้งลงไป เสร็จแล้ว ใช้ตะหลิวสองอันค่อย ๆ ตะล่อมไข่เจียวทั้ง 2 ข้าง ให้ม้วนและเกาะ--ตัวเข้าหากันเป็นทรงกระบอก เสร็จแล้ว พลิกไข่กลับมา ทอดให้ไข่เจียวสุกทั่วทุกด้าน จนมีผิวเรียบเนียน
-พอผิวด้านนอกเรียบเนียนดีแล้ว ให้เร่งไฟเป็นไฟแรง เพื่อให้ผิวด้านนอกเหลืองทองสวยงาม และไข่เจียวด้านในสุกดี เสร็จแล้ว ตักขึ้น พักให้สะเด็ดน้ำมันพืช
-ตักเสิร์ฟใส่จาน โรยหน้าด้วยผักชี เป็นอันเสร็จ",MT001
M002,ข้าวไข่เจียวทอร์นาโด,"ไข่ไก่, ข้าวสวย, น้ำมันพืช","ไข่ไก่ 2 ฟอง (ปริมาณปรับได้ตามขนาดของกระทะ)
ข้าวสวย 1 ถ้วย
น้ำมันพืชสำหรับทอด 2 – 3 ช้อนโต๊ะ","ตอกไข่ไก่ ใส่ชามผสม ตีไข่ไก่ให้เข้ากัน จนกว่าจะได้ไข่ไก่ เนื้อเนียนละเอียด เสร็จแล้ว ให้ตักข้าวใส่ถ้วย โปะใส่จานเตรียมไว้ให้เรียบร้อย
ตั้งกระทะ ใส่น้ำมันพืชลงไป เคลือบน้ำมันพืชให้ทั่วกระทะ รอจนกระทะและน้ำมันพืชร้อนได้ที่แล้ว เทไข่ไก่ลงไป
พอเทไข่ไก่เสร็จ ให้ใช้ตะเกียบสองอัน ปักไปที่ข้างซ้ายและขวาของกระทะ แล้วกรีดไข่เจียวเข้ามาตรงกลาง โดยเว้นระยะห่างจากกัน เหมือนกับเวลาคีบตะเกียบ พอเริ่มเห็นไข่เป็นริ้ว ๆ แล้ว ให้ใช้มือหนึ่งจับตะเกียบ อีกมือหนึ่งจับกระทะ ค่อย ๆ หมุนไปในทิศทางเดียวกัน ให้ไข่สุก และเป็นริ้ว ๆ คล้ายทอร์นาโด
พอไข่สุกทั่วกันดีแล้ว ให้ยกขึ้นมาโปะข้าวสวย ให้สวยงาม เป็นอันเสร็จ",MT001
M003,แกงเขียวหวาน,"กะทิ, พริกแกงเขียวหวาน, เนื้อสะโพกไก่, มะเขือเปราะ, มะเขือพวง, ใบมะกรูด, พริกชี้ฟ้า, ใบโหระพา, น้ำปลา, น้ำตาลปี๊บ","กะทิ 800 มิลลิลิตร
พริกแกงเขียวหวาน 70 กรัม
เนื้อสะโพกไก่ 300 กรัม
มะเขือเปราะ 100 กรัม
มะเขือพวง 50 กรัม
ใบมะกรูด 3 ใบ
พริกชี้ฟ้าแดงและเขียว 2 เม็ด
ใบโหระพา 15 กรัม
น้ำปลา 1 ช้อนโต๊ะ
น้ำตาลปี๊บ 1 ช้อนโต๊ะ","-ตั้งกระทะ ใส่กะทิประมาณ 200 มิลลิลิตรลงไป ตามด้วยพริกแกงเขียวหวาน ผัดให้พริกแกงหอมและกะทิแตกมัน
-ระหว่างรอกะทิแตกมัน หั่นเนื้อสะโพกไก่ให้เป็นชิ้นขนาดพอดีคำเตรียมไว้ 
-เมื่อกะทิแตกมันดี ใส่เนื้อไก่ลงผัดให้สุก ปรุงรสด้วยน้ำปลาและน้ำตาลปี๊บ
-ชิมรสตามชอบ แล้วเทกะทิที่เหลือลงไป ต้มให้เดือด 
-ใส่ใบมะกรูด มะเขือพวง และมะเขือเปราะลงในหม้อ ต้มอีกครั้งให้มะเขือสุก
-ใส่พริกชี้ฟ้าแดงเขียวและใบโหระพาลงไป เท่านี้ก็พร้อมจัดเสิร์ฟแล้ว",MT001
M004,ต้มยำกุ้ง,"กุ้งสด, เห็ดฟาง, ข่า, ตะไคร้, หอมแดง, รากผักชี, เกลือ, พริกขี้หนูสวน, น้ำปลา, น้ำพริกเผา, พริกแห้ง, ใบมะกรูด, นมข้นจืด, มะนาว, ผักชีฝรั่ง, ผักชี, น้ำ","กุ้งสด 12 ตัว
เห็ดฟาง 200 กรัม
ข่า 5 แว่น
ตะไคร้ 3 ต้น
หอมแดง 20 กรัม
รากผักชี 4 ราก
เกลือ 1 ช้อนชา
พริกขี้หนูสวน 2 ช้อนโต๊ะ
น้ำปลา 80 กรัม
น้ำพริกเผา 2 ช้อนโต๊ะ
พริกแห้ง 5 เม็ด
ใบมะกรูด 6 ใบ
นมข้นจืด 100 กรัม
มะนาว 3-4 ลูก
ผักชีฝรั่ง 2 ต้น
ผักชี 2 ต้น
น้ำเปล่า 2 ลิตร","-ใช้มีดหั่นข่าเป็นแว่น ๆ
-ฉีกใบมะกรูดออกจากก้านใบ เตรียมไว้
-ใส่ตะไคร้ หอมแดง พริกขี้หนูสวน ลงไปในครก ทีละอย่าง ตำให้พอแหลก
-ตั้งหม้อ ใส่น้ำเปล่าลงไปให้ท่วม
-ใส่ข่า ตะไคร้ ใบมะกรูด หอมแดง รากผักชี พริกขี้หนูสวน
-ปรุงรสด้วย เกลือ เล็กน้อย
-ปิดฝา ต้มน้ำให้เดือด
-ใส่เห็ดฟางลงไป ต้มให้สุก
-ใส่น้ำพริกเผา คนให้ละลายเข้ากัน แล้วรอน้ำเดือดอีก 1  รอบ
-เตรียมกุ้ง โดยแกะเปลือกกุ้งเฉพาะลำตัวออก ให้เหลือมันกุ้งส่วนหัวเอาไว้
-ใส่ลงไปในหม้อ ต้มให้สุก
-ใส่ น้ำปลา
-ใส่ นมข้นจืด แล้ว คนให้ละลายเข้ากัน
-ใส่พริกแห้งคั่ว
-ใส่ใบมะกรูดฉีก แล้วต้มให้น้ำเดือดอีกรอบ เสร็จแล้ว ปิดเตา
-บีบน้ำมะนาว เพื่อเพิ่มรสเปรี้ยว
-ใส่ผักชีฝรั่ง ผักชี ตามชอบ
-ตักต้มยำกุ้งใส่ชาม
-จัดเสิร์ฟ เป็นอันเสร็จ",MT001
M005,พะแนงไก่,"เนื้อไก่, พริกแกง, กะทิ, มะเขือพวง, พริกชี้ฟ้า, ใบมะกรูด, น้ำตาลปี๊บ, น้ำปลา ","เนื้อไก่ 400 กรัม (ส่วนอก, สะโพก หรือน่องก็ได้)
พริกแกง 150 กรัม
กะทิ 500 มล.
มะเขือพวง 100 กรัม
พริกชี้ฟ้าซอย 3 เม็ด
ใบมะกรูดฉีก 5 ใบ
ใบมะกรูดซอย 4 ใบ
น้ำตาลปี๊บ 1 ช้อนโต๊ะครึ่ง
น้ำปลา 1 ช้อนโต๊ะ","-นำกะทิประมาณ 200 มล.ลงไปผัดให้แตกมัน ตามด้วยพริกแกง ผัดให้เข้ากันดี
-เมื่อพริกแกงและกะทิเข้ากันดีแล้ว ใส่ไก่ลงไปผัดให้สุก แล้วเติมกะทิส่วนที่เหลือลงไป ให้แกงเดือดดี
-ใส่มะเขือพวง และมะกรูดฉีกลงไป เมื่อมะเขือพวงสุกดีแล้ว ปรุงรสด้วยน้ำปลา และน้ำตาลปี๊บ ชิมดูรสชาติให้ได้ตามชอบ รสชาติจะ--ออกเผ็ดหวาน เค็มเล็กน้อย
-เมื่อผัดเข้ากันดีแล้ว ตักใส่ชามเสิร์ฟ แล้วตกแต่งหน้าด้วยใบมะกรูดซอย และพริกชี้ฟ้าซอย",MT001
M006,แกงมัสมั่นไก่,"เนื้อไก่, พริกแกง, กะทิ, มะเขือพวง, พริกชี้ฟ้า, ใบมะกรูด, น้ำตาลปี๊บ, น้ำปลา ","ถั่วลิสงคั่ว 80 กรัม
ไก่ 2 น่อง
มันฝรั่ง 1 หัว
หอมหัวใหญ่ 1-2 หัว
หัวกะทิ 1 ถ้วย
พริกแกงมัสมั่น 100 กรัม
หางกะทิ 4 ถ้วย
อบเชย 3-4 แท่ง (ไม่มีไม่ต้องใส่ได้)
โป๊ยกั๊ก 4-5 ดอก (ไม่มีไม่ต้องใส่ได้)
น้ำปลา 3 ช้อนโต๊ะ
น้ำมะขามเปียก 3 ช้อนโต๊ะ
น้ำตาลปี๊บ 2 ช้อนโต๊ะ","-ตั้งกระทะใช้ไฟอ่อนเพื่อคั่วถั่วลิสงให้สุก
-นำถั่วที่คั่วแล้วมายี ๆ ให้เปลือกหลุดออกให้หมด
-เตรียมหั่นมันฝรั่ง หอมใหญ่ และน่องไก่ เป็นชิ้นไม่ต้องเล็กมาก
-ตั้งกระทะใช้ไฟปานกลาง ใส่หัวกะทิและพริกแกงมัสมั่นลงไป ผัดให้กะทิแตกมัน
-ใส่น่องไก่ลงไป ตามด้วยมันฝรั่งและหอมหัวใหญ่
-ผัดให้เข้ากันสักครู่หนึ่งแล้วจึงใส่หางกะทิ ตั้งไว้ให้เดือด
-หลังเดือดแล้วให้เบาไฟ ใส่โป๊ยกั๊ก อบเชย และถั่วคั่ว ลงไปตุ๋นประมาณ 30 นาที หรือจนกว่าไก่เปื่อยนุ่ม
-เมื่อไก่นุ่มแล้วปรุงรสด้วยน้ำปลา น้ำมะขามเปียก และน้ำตาลปี๊บ คนให้เข้ากันและชิมรสชาติ ถ้ารสชาติพอใจแล้วให้ปิดไฟพร้อมเสิร์ฟ",MT001
M007,แกงจืดเต้าหู้หมูสับ,"หมูสับ, เต้าหู้ไข่, ซุปก้อน, กระเทียม, แคร์รอต, ผักกาดขาว, ขึ้นฉ่าย, พริกไทยขาว, ซีอิ๊วขาว, น้ำปลา","-ต้มน้ำให้เดือด ระหว่างรอน้ำเดือด นำแคร์รอต มะเขือเทศ หัวหอมใหญ่ มาล้างให้สะอาด แล้วหั่นเป็นชิ้นขนาดแล้วแต่ชอบ
-ล้างขึ้นฉ่ายหั่นประมาณ 1 นิ้ว
-เอาปีกไก่บนมาล้างให้สะอาดสัก 2-3 น้ำ
-น้ำเดือดใส่เกลือเล็กน้อย ใส่ซุปก้อน และใส่น่องไก่ที่เราเตรียมไว้ ไฟอ่อนถึงไฟกลาง และคอยช้อนฟองหรือมันทิ้ง ต้มประมาณ 25-30 นาที
เคล็ดลับ: อย่าเปิดไฟแรง เด่วน้ำจะขุ่น
-หลังจากไก่เริ่มจะสุกนุ่มได้ที่ ให้ใส่ผักที่เราเตรียมไว้ลงไป ต้มต่อไปอีก 15 นาที
เคล็ดลับ: ขั้นตอนนี้ขึ้นอยู่กับความชอบ เราชอบทานผักนุ่มๆเลยต้มนานหน่อย
-ชิมและปรุงรสที่ชอบ และใส่ขึ้นฉ่ายเป็นขั้นตอนสุดท้าย ปิดแก๊ซได้เลย",#NAME?,MT001
M008,ไข่เจียวหมูสับ,"ไข่ไก่, หมูสับ, ซอสหอยนางรม, ซีอิ๊วขาว, น้ำตาลทรายขาว, พริกไทย, ผักชี, น้ำมันพืช","ไข่ไก่ 3-4ฟอง
หมูสับ ½ ถ้วยตวง
ซอสหอยนางรม 2 ช้อนโต๊ะ
ซีอิ๊วขาว 1ช้อนโต๊ะ
น้ำตาลทรายขาวทราย 1 ช้อนชา
พริกไทยเล็กน้อย
ผักชีสำหรับตกแต่ง
น้ำมันพืชสำหรับทอด 2-4 ช้อนโต๊ะ",#NAME?,MT001
M009,หมูแดดเดียว,"เนื้อหมู, กระเทียม, รากผักชี, พริกไทย, งาขาว, น้ำตาลทรายขาว, นมข้นจืด, ซอสหอยนางรม, ผงปรุงรส","เนื้อหมูสดๆ (ประมาณ 1 กก.)
กระเทียม 1 หัว
รากผักชี 5-6 ราก
พริกไทย
งาขาว 3 ช้อนโต๊ะ
น้ำตาลทรายขาวทราย
นมข้นจืด
ซอสหอยนางรม
ผงปรุงรส","-ล้างเนื้อหมูให้สะอาด นำเนื้อหมูมาแล่เป็นชิ้นบาง หนาประมาณ 1 เซนติเมตร
-โขลกกระเทียม รากผักชี พริกไทยให้ละเอียด นำไปหมักกับเนื้อหมู
-เติมน้ำตาลทรายขาว นมข้นจืด ซอสหอยนางรม งาขาว และผงปรุงรส
-คลุกเคล้าให้ส่วนผสมทั้งหมดเข้ากัน ทิ้งไว้ประมาณ 1 ชั่วโมง
-นำเนื้อหมูไปตากแดดประมาณ 3-4 ชั่วโมง พลิกกลับเนื้อหมูเป็นระยะ
-เริ่มการทอดโดยใส่น้ำมันพืชแล้วตั้งไฟให้ร้อน จึงนำหมูที่ผึ่งแดดไปทอดจนสุกทั่ว",MT001
M010,ยำคอหมูย่าง,"คอหมูย่าง, เเตงกวา, ขึ้นฉ่าย, มะเขือเทศ, หอมใหญ่, พริก, กระเทียม, รากผักชี, น้ำตาลปี๊บ, น้ำปลา, น้ำมะนาว","คอหมูย่าง
เเตงกวา ขึ้นฉ่าย มะเขือเทศ หอมใหญ่
พริก
กระเทียม 4 กลีบ
รากผักชี 1 ราก
น้ำตาลปี๊บ 1 ช้อนโต๊ะ
น้ำปลา 2 ช้อนโต๊ะ
น้ำมะนาว 3 ช้อนโต๊ะ","-สูตรคอหมูย่าง ( https://www.wongnai.com/recipes/ugc/bc58cc8ccc6b4f67b4bacca96b5efcfd?ref=android )
-น้ำยำตำพริกกระเทียมรากผักชี ปรุงรสด้วยน้ำตาลทรายขาวปิ๊บ 1 ช้อนโต๊ะ น้ำปลา 2 ช้อนโต๊ะ น้ำมะนาว 3 ช้อนโต๊ะ ปรุงรสตามชอบ
-หั่นผักเตรียมไว้ เคล็ดลับ: เเตงกวาเอาไส้ออกเเละเเช่น้ำเเข็งก่อนเอาไปใส่ในยำ จะทำให้กรอบอร่อย
-เอาหมูคลุกน้ำยำจนเข้ากัน ใส่ผักลงไป
-คลุกเคล้าให้เข้ากัน",MT001
